基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
010512,GY7TLCZQC,债券型,工银7天理财债券C,1.0191,1.0191,1.0191,1.0191,0,0.00,开放申购,开放赎回,0.00%,0.0,0.27,0.08,0.35,0.00
010513,CHYJZQA,债券型,淳厚益加债券A,1.0007,1.0007,1.0006,1.0006,0.0001,0.01,开放申购,开放赎回,0.80%,2.24,0.7,0.1,0.0,0.80
010514,CHYJZQC,债券型,淳厚益加债券C,1.0006,1.0006,1.0004,1.0004,0.0002,0.02,开放申购,开放赎回,0.00%,0.93,0.7,0.1,0.4,0.00
010565,DFHRDZZQA,债券型,东方恒瑞短债债券A,1.0005,1.0005,1.0005,1.0005,0,0.00,开放申购,开放赎回,0.04%,1.57,0.3,0.08,0.0,0.04
010566,DFHRDZZQB,债券型,东方恒瑞短债债券B,1.0008,1.0008,1.0008,1.0008,0,0.00,开放申购,开放赎回,0.00%,0.0,0.3,0.08,0.01,0.00
010567,DFHRDZZQC,债券型,东方恒瑞短债债券C,1.0002,1.0002,1.0002,1.0002,0,0.00,开放申购,开放赎回,0.00%,4.24,0.3,0.08,0.4,0.00
010629,GFKZZZQE,债券型,广发可转债债券E,1.5586,1.5586,1.5589,1.5589,-0.0003,-0.02,开放申购,开放赎回,0.00%,0.0,0.8,0.2,0.2,0.00
010753,ZSZXCZD,债券型,招商招旭纯债D,1.1795,1.1795,1.1790,1.1790,0.0005,0.04,开放申购,开放赎回,0.60%,0.0,0.3,0.1,0.0,0.60
010810,XCJYZDZA,债券型,湘财久盈中短债A,1.0009,1.0009,1.0009,1.0009,0,0.00,开放申购,开放赎回,0.035%,2.14,0.3,0.1,0.0,0.035
010811,XCJYZDZC,债券型,湘财久盈中短债C,1.0007,1.0007,1.0006,1.0006,0.0001,0.01,开放申购,开放赎回,0.00%,0.01,0.3,0.1,0.4,0.00
010856,MSJYHZZQ,债券型,民生加银恒泽债券,1.0037,1.0037,1.0034,1.0034,0.0003,0.03,开放申购,开放赎回,0.80%,2.2,0.3,0.1,0.0,0.80
010871,ZYXYZLZQLOFC,债券型,中银信用增利债券(LOF)C,1.0530,1.0530,1.0540,1.0540,-0.0010,-0.09,开放申购,开放赎回,0.00%,0.0,0.7,0.2,0.35,0.00
010933,ZYWHDZZQE,债券型,中银稳汇短债债券E,1.0412,1.0412,1.0408,1.0408,0.0004,0.04,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.2,0.00
010964,PHKZZZQC,债券型,鹏华可转债债券C,1.1020,1.1020,1.1110,1.1110,-0.0090,-0.81,开放申购,开放赎回,0.00%,5.45,1.0,0.2,0.2,0.00
011057,HTFFLDZZQC,债券型,汇添富丰利短债债券C,1.0351,1.0351,1.0349,1.0349,0.0002,0.02,开放申购,开放赎回,0.00%,0.0,0.25,0.08,0.2,0.00
011062,GFZZ710NGKZZSE,债券指数,广发中债7-10年国开债指数E,1.1268,1.1268,1.1258,1.1258,0.0010,0.09,开放申购,开放赎回,0.00%,0.0,0.15,0.05,0.1,0.00
011245,ZJRXCZZQC,债券型,中加瑞享纯债债券C,1,1,1,1,0,0.00,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.4,0.00
020002,GTJLZQA,债券型,国泰金龙债券A,0.9810,1.7530,0.9810,1.7530,0,0.00,开放申购,开放赎回,0.08%,0.72,0.6,0.2,0.0,0.08
020019,GTSLZQA,债券型,国泰双利债券A,1.5650,1.8310,1.5660,1.8320,-0.0010,-0.06,开放申购,开放赎回,0.10%,2.51,0.7,0.2,0.0,0.10
020020,GTSLZQC,债券型,国泰双利债券C,1.5070,1.7590,1.5080,1.76,-0.0010,-0.07,开放申购,开放赎回,0.00%,1.45,0.7,0.2,0.4,0.00
040009,HAWDSYZQA,债券型,华安稳定收益债券A,1.1141,1.8809,1.1143,1.8811,-0.0002,-0.02,开放申购,开放赎回,0.08%,5.39,0.6,0.2,0.0,0.08
