基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
161126,YFDBPYLBJRMB,QDII-指数,易方达标普医疗保健人民币,,,1.58,1.58,,,开放申购,开放赎回,0.12%
161127,YBPSWKJRMB,QDII-指数,易标普生物科技人民币,,,1.9736,1.9736,,,开放申购,开放赎回,0.12%
161128,YBPXXKJRMB,QDII-指数,易标普信息科技人民币,,,2.3311,2.3311,,,开放申购,开放赎回,0.12%
161129,YFDYYALRMB,QDII,易方达原油A类人民币,,,0.6142,0.6142,,,暂停申购,开放赎回,0.12%
161130,YFDNSDK100RMB,QDII-指数,易方达纳斯达克100人民币,,,1.9719,1.9719,,,开放申购,开放赎回,0.12%
161131,YFDZLPSLOF,混合型,易方达战略配售(LOF),1.1494,1.1494,1.1483,1.1483,0.0011,0.10,暂停申购,暂停赎回,0.60%
161132,YFDKSDKHH,混合型,易方达科顺定开混合,2.3624,2.3624,2.3807,2.3807,-0.0183,-0.77,暂停申购,暂停赎回,0.15%
161211,GTHS300JRDCLJ,联接基金,国投沪深300金融地产联接,2.1073,2.1073,2.1204,2.1204,-0.0131,-0.62,开放申购,开放赎回,0.12%
161213,GTRYZZXFFWZS,股票指数,国投瑞银中证消费服务指数,2.7590,2.7590,2.7810,2.7810,-0.0220,-0.79,开放申购,开放赎回,0.12%
161216,GTRYSZZQLOFA,债券型,国投瑞银双债债券(LOF)A,1.1840,1.7860,1.1840,1.7860,0,0.00,开放申购,开放赎回,0.08%
161217,GTRYZZZYZS,股票指数,国投瑞银中证资源指数,0.9390,0.9390,0.9550,0.9550,-0.0160,-1.68,开放申购,开放赎回,0.12%
161219,GTRYXXCYHH,混合型,国投瑞银新兴产业混合,2.8920,3.9460,2.8680,3.9220,0.0240,0.84,开放申购,开放赎回,0.15%
161221,GTRYSZZQC,债券型,国投瑞银双债债券C,1.1760,1.6040,1.1760,1.6040,0,0.00,开放申购,开放赎回,0.00%
161222,GTRYRLHHLOF,混合型,国投瑞银瑞利混合(LOF),1.9950,2.0270,1.9960,2.0280,-0.0010,-0.05,开放申购,开放赎回,0.15%
161224,GTRYXSLHHLOF,混合型,国投瑞银新丝路混合(LOF),1.6090,2.0360,1.6180,2.0450,-0.0090,-0.56,开放申购,开放赎回,0.15%
161225,GTRYRYHHLOF,混合型,国投瑞银瑞盈混合(LOF),2.3690,2.39,2.3860,2.4070,-0.0170,-0.71,开放申购,开放赎回,0.15%
161226,GTRYBYQHLOF,混合型,国投瑞银白银期货(LOF),0.8880,0.8880,0.8790,0.8790,0.0090,1.02,限大额,开放赎回,0.10%
161227,GTRYSZ100ZS,股票指数,国投瑞银深证100指数,1.7850,3.3760,1.7960,3.3970,-0.0110,-0.61,开放申购,开放赎回,0.12%
161229,GTRYZGJZFXGP,QDII,国投瑞银中国价值发现股票,,,1.5970,1.9670,,,开放申购,开放赎回,0.15%
161232,GTRYRSHHLOF,混合型,国投瑞银瑞盛混合(LOF),1.3110,1.3110,1.3210,1.3210,-0.01,-0.76,开放申购,开放赎回,0.15%
